play an important part in;/pleɪ ən ɪmˈpɔːrtnt  pɑːrt ɪn/;在…中起重要作用，对…有重要影响;be important;Our leader played an important part in the team.,他在我们团队中起着重要作用。
tantrum;/ˈtæntrəm/;n. （孩子气的）脾气发作;an uncontrolled expression of childish anger :an angry outburst by a child or by someone who is behaving like a child;Each kid in my pre-school is allowed one temper tantrum per day.,我幼儿园里的每个小孩被允许可以每天发一次脾气。
elephantine;/ˌelɪˈfæntiːn/;adj. 笨拙的，巨大的;not graceful :awkward or clumsy;Woolly mammoths were gigantic, elephantine creatures that walked the northern snows.,毛象是巨大的似象动物，行走在北部风雪地带。
ant;/ænt/;n. 蚂蚁;a kind of small insect that lives in an organized social group; The ants play in a band.,蚂蚁在一个乐队里表演。
assistant;/əˈsɪstənt/;n. 助理，助手，助教；  adj. 助理的，辅助的;a person whose job is to help another person to do work;His assistant asked him to sign the papers.,他的助理让他在文件上签字。
canter;/ˈkæntər/;n. 慢跑（多用于马）;the way a horse moves when it is running fairly fast;She finally learnt how to make the horse canter.,她终于学会了怎样让马慢跑。
incantation;/ˌɪnkænˈteɪʃn/;n. 咒语;a series of words used to make something magic happen;The horrible witch chanted an incantation over the king.,
substantial;/səb'stænʃl/;adj. 大量的;;The mutant camel's size is substantial.,这头变异了的骆驼真大呀。
philanthropic;/ˌfɪlənˈθrɑːpɪk/;adj. 博爱的，为他人着想的;generous in assistance to the poor;The monk is a philanthropic person who is always ready to give his love.,唐僧是一个博爱的人，总是乐于施爱。
pleasant;/ˈpleznt/;adj. 令人愉快的，舒适的;friendly and likable;It's pleasant to lie down on the grass and enjoy the sun.,躺在草坪上享受阳光非常惬意。
antidote;/ˈæntidoʊt/;n. 【药】解毒剂，解药，矫正方法;a substance that stops the harmful effects of a poison;Let's hope this antidote stops the poison.,希望这个解毒剂能成功解毒。
