slam dunk;/ˈslæm dʌŋk/;n. 扣篮;the act of jumping up and putting the ball through the net with a lot of force;The basketball player did a perfect slam dunk.,那个篮球运动员完成了一次完美的扣篮。
predicament;/prɪˈdɪkəmənt/;n. 困境，穷境，尴尬的处境;a difficult or unpleasant situation;I'm in a predicament and don't know where to go since here are so many traps.,这里陷阱太多了，我陷入了困境，不知道该往哪走。
gramme;/ɡræm/;n. 克;a metric unit of weight equal to one thousandth of a kilogram;One KG is one thousand grammes.,1千克就是1000克。
lamp;/læmp/;n. 灯，台灯;a device that produces light;An oil lamp burned in darkness.,一盏油灯在黑暗中发着光。
Vietnam;/ˌvjet'næm/;n. 越南（东南亚国家）;;Vietnam won a major war against America in the 60s and 70s.,在60和70年代的抗美战争中，越南胜利了。
damage;/ˈdæmɪdʒ/;v. 损害，毁坏；  n. 损害;to harm or spoil something/somebody;Oh no! My car was badly damaged after hitting the tree.,噢不！我的车在撞树之后严重损坏了。
hamstring;/ˈhæmstrɪŋ/;n. 腿筋；  v. 切断腿筋使成跛腿，使无效;a tendon at the back of a person's knee;The hamstring is a large muscle located at the back of the thigh.,腿筋是大腿后部的一大片肌肉组织。
tram;/træm/;n. 有轨电车;a vehicle that runs on a track or on rails and that is usually used to carry groups of people for a short distance;We rode the tram from our hotel to the museum.,我们坐有轨电车从宾馆去博物馆。
be famous for;/bi/ /ˈfeɪməs/ /fɔr/;以……而闻名;;Einstein was famous for funny hair as well as physics.,爱因斯坦有趣的头发跟他的物理学一样出名。
parliament;/ˈpɑːrləmənt/;n. 议会，国会;the group of people who are responsible for making the laws in some kinds of their government;The parliament of our country writes and passes laws.,在美国，国会撰写并通过法律。
pram;/præm/;n. 婴儿车，手推车，童车停车场;a small vehicle in which a baby can lie as it is pushed along.;My little daughter loves it when I take her around the park in her cute pink pram.,我的小女儿喜欢我推着粉色婴儿车里的她在公园溜达。
melodramatic;/ˌmelədrəˈmætɪk/;adj. 夸张的，情节剧的，戏剧似的;emotional in a way that is very extreme or exaggerated :extremely dramatic or emotional;She loves to make a big melodramatic performance out of everything.,她凡事都爱小题大做。
examination;/ɪɡˌzæmɪˈneɪʃn/;n. 考试，考查，审讯，检查;a close and careful study of someone or something to find signs of illness or injury;The students are taking an examination.,学生们正在参加考试。
amplification;/ˌæmplɪfɪˈkeɪʃn/;n. 【电子】放大（率），扩大，详述; the amount of increase in signal power or voltage or current expressed as the ratio of output to input;The amplification from this loudspeaker should help me yell even louder.,扩音器的放大功能，能帮助我叫喊得更大声。
(be)ashamed of;/əˈʃeɪmd əv/;对……感到羞愧，惭愧;feeling shame or embarrassment about somebody/something or because of something you have done;She is ashamed of failing in the exam.,她因为考试不及格而感到惭愧。
chamber of commerce;;商会;an association of businessmen to protect and promote business interests.;Merchants established the chamber of commerce to protect their common interests.,商人们成立了这个商会来保护他们的共同利益。
contaminant;/kənˈtæmɪnənt/;n. 污染物，致污物;something that makes a place or a substance (such as water, air, or food) no longer suitable for use :something that contaminates a place or substance;This man is wearing protective clothing to protect him from contaminants.,这个人穿着防护服以保护自己免受污染物侵害。
seamy;/ˈsiːmi/;adj. 丑恶的，露出线缝的;of or relating to unpleasant and usually illegal things (such as crime, drugs, etc.);He spent the night in a seamy, dirty alley.,他在这条肮脏的小巷过了一晚。
amount;/əˈmaʊnt/;n. 数量，总额；  v. （to）合计，共计，等同，接近;a quantity of something;He made a huge amount of money.,他挣了一大笔钱。
creamy;/ˈkriːmi/;adj. 奶油多的;Of any liquid, having the thick texture of cream.;Some of our favorite salad dressings are creamy, and not exactly healthy.,很多我们喜欢的沙拉酱都含很多奶油，那并不健康。
face cream;/ˈfeɪs kriːm/;面霜;;She applies her face cream every morning.,她每天早上都抹面霜。
tame;/teɪm/;adj. 驯服的；温顺的；顺从的；  v. 驯服；驯化;not wild or fierce; easily controlled;Don't worry, this lion is tame--It won't hurt you.,别担心，这只狮子很温驯，它不会伤害你的。
ice cream cone;/aɪs/ /krim/ /koʊn/;phr. 冰淇淋蛋卷;the cone of ice cream;For dessert I'd like a vanilla ice cream cone.,要说餐后甜点的话，我喜欢香草冰激凌蛋卷。
amphibian;/æmˈfɪbiən/;n. 两栖动物，水陆两用飞机和车辆；  adj. 两栖类的，【车辆】水陆两用的，具有双重性格的;an animal (such as a frog or toad) that can live both on land and in water;Frogs are one kind of amphibian.,青蛙是一种两栖动物。
cramped;/kræmpt/;adj. 狭窄的，挤在一起的;not having enough space inside :too small and crowded;My apartment is too cramped for a roommate.,我的公寓太狭窄了，容不下一名室友。
polygamist;/pəˈlɪɡəmɪst/;n. 多配偶的人，多配偶论者;someone who is married to two or more people at the same time;I wish I were a polygamist and these beautiful girls were all my wives!,我希望我是一个多配偶的人，这些美女都是我的老婆！
vampire;/ˈvæmpaɪər/;n. 吸血鬼;a dead person who leaves the grave at night to bite and suck the blood of living people;Vampires shouldn't open their mouths - the fangs are a dead giveaway.,吸血鬼不应该张嘴-他们的尖牙是绝对的身份暴露。
clam;/klæm/;n. 蛤，蚶;a type of shellfish that lives in sand or mud, has a light-colored shell with two parts, and is eaten both cooked and raw;We threw our nets into the water to catch some clams. ,我们将网撒到水中来捕捞蛤。
amnesia;/æmˈniːʒə/;n. 【医学】遗忘症;a condition in which a person is unable to remember things because of brain injury, shock, or illness;I can't remember my name--I might have amnesia!,我记不住我的名字—我可能有健忘症！
cameo;/ˈkæmioʊ/;n. 石雕，贝雕，浮雕玉石，文学小品;a piece of jewelry that has a carved design shown against a background of a different color;The raised design of the cameo necklace looks exquisite.,这条贝雕项链的浮雕设计非常精美。
university campus;;大学校园;the grounds and buildings of an institution.;Our university campus is amongst the most beautiful campuses in China.,我们大学校园是中国最美校园之一。
team building;;团队建设;a wide range of activities, presented to businesses, schools, sports teams, religious or nonprofit organizations designed for improving team performance;The team building event this year was rafting; my colleagues really enjoyed it!,今年的团建项目是漂流，我的同事们很喜欢这个活动！
suncream;/ˈsʌnkriːm/;n. 防晒霜;cream that you put on your skin to protect it from the harmful effects of the sun;She often uses suncream in the summer to protect her skin.,夏天，她经常涂防晒霜来保护皮肤。
username;/'juːzərneɪm/;n. 用户名;the name you use in order to be able to use a computer program or system;You must have a username if you want to use an interactive app.,要想使用一款社交类应用软件，你必须有一个用户名。
melodrama;/ˈmelədrɑːmə/;n. 情节剧，传奇剧，音乐戏剧;drama in which many exciting events happen and the characters have very strong or exaggerated emotions;The sensitive girls are easily touched by melodrama.,敏感的女孩轻易的被情节剧感动。
chambermaid;/ˈtʃeɪmbərmeɪd/;n. 女服务员;a woman whose job is to clean bedrooms, usually in a hotel.;The chambermaid brings us new sheets and towels on a daily basis.,女服务员每天都会给我们带来干净的床单和毛巾。
amphibious;/æmˈfɪbiəs/;adj. 两栖的;able to live both on land and in water;Amphibious creatures can live both in water and on land.,两栖动物可以在水陆两地生活。
amnesty;/ˈæmnəsti/;n. 赦免；  v. 对…实行大赦;a decision that a group of people will not be punished or that a group of prisoners will be allowed to go free;I was offered amnesty from the emperor and released from jail.,我得到了皇帝的赦免，所以我被释放了。
lamb;/læm/;n. 小羊，羊羔肉;a young sheep;Those two lambs are so cute!,那两只小羊好萌啊！
acclamation;/ˌækləˈmeɪʃn/;n. 欢呼;strong and enthusiastic approval or praise;The free gifts gained the acclamation from the crowds.,免费的礼物让群众欢呼喝彩。
amid;/əˈmɪd/;prep. 在…中间，被…围绕;in or into the middle of (something);Help - I'm lost amid all the colored balls!,救命！我在这堆彩球中迷路了！
ambivalence;/æmˈbɪvələns/;n. 矛盾心理;mixed feelings or emotions;Her ambivalence about the question prevented her from making a clear decision.,她对那个问题的矛盾观点阻碍了她做正确的决定。
chamber music;/ˈtʃeɪmbər mjuːzɪk/;n. 室内乐;classical music written for a small number of musicians;We play chamber music - mostly violin quartets.,我们演奏室内音乐 — 大多是小提琴四重奏。
the Olympic Games;;奥林匹克运动会;;Athletes compete in many different sports in the Olympic Games.,这些是奥林匹克运动会的各种竞技项目。
shameful;/ˈʃeɪmfl/;adj. 令人感到羞耻的，丢脸的，伤风败俗的，猥亵的，不体面的;very bad :bad enough to make someone ashamed;Nothing is more shameful than crawling between another's legs.,叫一个男人去钻裤子，这简直是奇耻大辱。
dream of;;梦见，梦想，设想;;When I dream of sheep, it helps me sleep.,我梦羊时有助睡眠。
testament;/ˈtestəmənt/;n. 遗嘱，圣约书，契约，誓约确实的证明，〔口语〕一部新约全书;;You have to read this testament to understand Christianity.,
ham;/hæm/;n. 火腿；  adj. 做作的，蹩脚的;;Ham is made of pork.,火腿是猪肉做的。
spam;/spæm/;v. 兜售信息（邮件或广告等）；  n. 垃圾电子邮件;to send the same message to large numbers of Internet users who have not requested the information;Stop spamming me with trash emails! It's an immoral online behavior!,别再给我寄垃圾邮件啦！这是不道德的网络行为！
amoral;/ˌeɪˈmɔːrəl/;adj. 不知是非的;having or showing no concern about whether behavior is morally right or wrong;It takes an amoral person to steal a car: he doesn't care whether it's right or wrong.,一个没有道德的人才会偷车：他根本不在乎这事正确与否。
gram;/ɡræm/;n. 克;a unit of weight in the metric system that is equal to 1/1000 kilogram;These pills weigh three grams.,这些药丸有三克重。
